from_id,to_id,kind,evidence,rationale
org:samsung_electronics,organization:samsung_electronics,merge,slug_identical,"큐레이션 기업 노드(Wikidata Q20718 / MOTIE 국가핵심기술)와 특허 출원인 노드가 같은 법인. 큐레이션 쪽은 assignedTo 를 한 건도 받지 못했다."
org:sk_hynix,organization:sk_hynix,merge,slug_identical,"위와 같음. 큐레이션 노드 특허 0건 / 출원인 노드 특허 128건(G₀)."
vendor:applied_materials,organization:applied_materials,merge,slug_identical,"동일 법인(Applied Materials, Inc.). 장비 공급 5건은 vendor 쪽, 특허 26건(G₀)은 organization 쪽에 있었다."
vendor:lam_research,organization:lam_research,merge,slug_identical,"동일 법인(Lam Research Corporation). 장비 공급 3건 / 특허 19건(G₀)."
vendor:semes,organization:semes,merge,slug_identical,"동일 법인(SEMES Co., Ltd.). 특허 13건(G₀). KSIA 회원사이므로 G₂ 코퍼스에도 들어온다."
vendor:tokyo_electron,organization:tokyo_electron_limited,merge,name_variant,"Tokyo Electron = TOKYO ELECTRON LIMITED(TEL). 정식 상호의 표기 변형이며 같은 법인."
vendor:hitachi,organization:hitachi_high_tech,merge,name_identical,"원천의 canonical_name 이 이미 ""Hitachi High-Tech"" 다. 반도체 장비 맥락의 Hitachi 는 Hitachi High-Tech Corporation 을 가리킨다."
vendor:mattson,organization:mattson_technology,merge,name_variant,"Mattson Technology = Mattson Technology, Inc. 같은 법인."
vendor:screen,organization:screen_holdings,merge,corporate_group,"SCREEN Semiconductor Solutions 는 SCREEN Holdings 의 반도체 장비 자회사. 별개 법인을 기업집단 단위로 병합한다 — 논문 §5.3 에 한계로 자인."
vendor:asm,organization:asm_ip_holding_b_v,merge,corporate_group,"ASM IP Holding B.V. 는 ASM International 의 IP 보유 법인. 특허는 IP 보유 법인 명의로 출원된다. 기업집단 단위 병합."
vendor:3m,organization:3m_innovative_properties_company,merge,corporate_group,"3M Innovative Properties Company 는 3M 의 IP 보유 법인. 기업집단 단위 병합."
vendor:asml,organization:asml,rename,no_counterpart,"G₀ 에 대응하는 특허 출원인 노드가 없다. 병합이 아니라 스킴 통일뿐."
vendor:kla,organization:kla,rename,no_counterpart,"위와 같음."
vendor:axcelis,organization:axcelis,rename,no_counterpart,"위와 같음."
vendor:bruker,organization:bruker,rename,no_counterpart,"위와 같음."
vendor:ebara,organization:ebara,rename,no_counterpart,"위와 같음."
vendor:cabot,organization:cabot,rename,no_counterpart,"위와 같음."
