jurisdiction,tech_keyword,concept_iri,rationale
US_EAR,CCL_3A001,device/gaa_fet,"3A001.a.1 controls ≤16nm logic with GAA/nanosheet architecture"
US_EAR,CCL_3A001,device/finfet,"3A001.a.1 controls ≤16nm logic with FinFET architecture"
US_EAR,CCL_3B001,equipment_class/etcher,"3B001.a controls ALE etch equipment for advanced nodes"
US_EAR,CCL_3B001,equipment_class/deposition_tool,"3B001.a controls ALD deposition equipment for advanced nodes"
US_EAR,CCL_3B001,equipment_class/cd_sem,"3B001.c process-control equipment (CD-SEM <1nm precision)"
US_EAR,CCL_3B001,equipment_class/overlay_metrology,"3B001.c process-control equipment (overlay <1nm precision)"
US_EAR,CCL_3B001,subprocess/euv_lithography,"3B001.a controls EUV lithography equipment"
US_EAR,CCL_3B001,subprocess/duv_lithography,"3B001.a controls DUV immersion litho below 193nm"
WASSENAAR,EUV_Process,subprocess/euv_lithography,"3B001.a.2 controls 13.5nm EUV exposure process"
WASSENAAR,EUV_Process,material/photoresist_euv,"3B001.a.2 controls EUV photoresist material"
WASSENAAR,Advanced_Metrology,metrology/cd_sem,"3B001.f controls CD-SEM metrology ≤1nm resolution"
WASSENAAR,Advanced_Metrology,metrology/overlay,"3B001.f controls nanoscale overlay metrology"
WASSENAAR,Advanced_Metrology,equipment_class/cd_sem,"3B001.f controls CD-SEM inspection equipment"
US_EAR,CCL_3E001_Semiconductor_Tech,device/dram,"3E001 controls DRAM design know-how"
US_EAR,CCL_3E001_Semiconductor_Tech,device/nand_flash,"3E001 controls NAND process technology"
US_EAR,CCL_3E001_Semiconductor_Tech,device/3d_nand,"3E001 controls 3D NAND process technology"
KR_ITPA,DRAM_16nm_Less,device/dram,"NCT-01: ≤16nm DRAM design/process/device technology"
KR_ITPA,NAND_128L_More,device/3d_nand,"NCT-02: ≥128-layer 3D NAND technology"
KR_ITPA,NAND_128L_More,device/nand_flash,"NCT-02: ≥128-layer 3D NAND (NAND flash device)"
KR_ITPA,Foundry_14nm_Less,device/finfet,"NCT-03: ≤14nm foundry logic uses FinFET architecture"
KR_ITPA,Foundry_14nm_Less,device/gaa_fet,"NCT-03: ≤14nm foundry logic uses GAA architecture"
KR_ITPA,Advanced_Packaging,subprocess/advanced_packaging,"NCT-04: FO-WLP / 3D-stack advanced packaging technology"
KR_ITPA,Advanced_Packaging,device/tsv,"NCT-04: TSV 3D stacking technology"
KR_ITPA,Advanced_Etching,process/etch,"NCT-05: advanced etch process (HAR etching, ALE)"
KR_ITPA,Advanced_Etching,equipment_class/etcher,"NCT-05: advanced etch equipment"
KR_ITPA,Advanced_Deposition,subprocess/ald,"NCT-06: atomic-layer deposition (ALD) technology"
KR_ITPA,Advanced_Deposition,process/deposition,"NCT-06: advanced thin-film deposition"
KR_ITPA,Advanced_Deposition,equipment_class/deposition_tool,"NCT-06: ALD/advanced deposition equipment"
KR_ITPA,Ion_Implant_Advanced,process/implant,"MEDIUM: advanced ion implant process (>MeV, cluster)"
KR_ITPA,Ion_Implant_Advanced,equipment_class/implanter,"MEDIUM: advanced ion implant equipment"
KR_ITPA,CMP_Advanced,process/cmp,"MEDIUM: advanced CMP process (7+ BEOL layers)"
KR_ITPA,CMP_Advanced,equipment_class/cmp_tool,"MEDIUM: advanced CMP equipment"
KR_ITPA,CMP_Advanced,subprocess/cmp_metal,"MEDIUM: advanced metal CMP for multilayer interconnect"
KR_ITPA,SiC_GaN_Power,device/sic_mosfet,"MEDIUM: SiC power device (>600V)"
KR_ITPA,SiC_GaN_Power,device/gan_hemt,"MEDIUM: GaN power device (>600V)"
KR_ITPA,Cleaning_Contamination,process/clean,"MEDIUM: advanced cleaning / contamination control"
KR_ITPA,Cleaning_Contamination,subprocess/advanced_cleaning,"MEDIUM: advanced wet/dry cleaning for ≤5nm nodes"
