arxiv_id,topic,doc,rank,score,j1,j1_reason,j2,j2_reason
0308477v1,deposition,us_US20060054950A1,1,14.5552,False,"후보 문헌은 전이 금속 산화막을 이용한 비휘발성 메모리 셀에 관한 것으로, 연구 아이디어의 탄소 나노튜브 국소 게이팅 기술과는 기술적인 문제 및 수단이 상이하다.",False,탄소나노튜브 로컬 게이팅 및 CVD 성장 기술과 무관하게 전이금속 산화물 기반 비휘발성 메모리 셀 제조에 관한 문헌이므로 기술 문제나 수단이 겹치지 않는다.
0308477v1,deposition,kr_1020110021034,2,13.6793,False,"후보 문헌은 3D 적층 구조의 비휘발성 메모리 소자 제조 방법에 관한 것으로, 연구 아이디어의 탄소 나노튜브 국소 게이팅 기술과는 기술적인 문제 및 수단이 상이함.",False,"후보 문헌은 3D 적층 저항 스위칭 메모리 소자에 관한 것으로, 탄소나노튜브의 로컬 게이팅 및 ALD 유전체 코팅을 다루는 연구 아이디어와 기술 문제나 기술 수단이 겹치지 않는다."
0308477v1,deposition,kr_KR1020140056696A,3,12.7493,False,"후보 문헌은 산화물 반도체 기반 어레이 기판 제조 방법에 관한 것으로, 탄소 나노튜브의 국소 게이팅 기술과는 기술적 수단 및 해결하는 문제가 다르다.",False,"후보 문헌은 산화물 반도체 TFT 어레이 기판 제조 공정에 관한 것으로, 탄소나노튜브 성장 및 로컬 게이트 전기적 효과를 다루는 연구 아이디어와 기술 문제나 수단이 겹치지 않는다."
0308477v1,deposition,kr_KR1020090098905A,4,12.5374,False,"후보 문헌은 BEOL 상호접속 구조물 제조에 관한 내용으로, 탄소 나노튜브의 국소 게이팅 기술과는 기술적 관련성이 낮습니다.",False,"후보 문헌은 BEoL 상호접속 구조물의 로우-k 유전체 및 비아 형성 공정에 관한 것으로, 탄소나노튜브 로컬 게이팅 및 CVD 성장, 고유전율 게이트 절연막을 다루는 연구 아이디어와 기술 문제 및 수단이 다르다."
0308477v1,deposition,kr_KR1020060011478A,5,12.5253,True,두 문서 모두 high-k 유전막을 게이트 영역에 적용하여 소자의 전기적 특성을 제어하는 기술을 다루고 있어 관련성이 있다.,False,탄소나노튜브 로컬 게이팅 기술과 달리 후보 문헌은 SONOS 구조의 비휘발성 메모리 소자에 관한 것으로 기술 문제와 수단이 다르다.
0308477v1,deposition,kr_KR100777110B1,6,12.3743,False,"후보 문헌은 유기박막 트랜지스터의 식각방지막 및 제조 방법에 관한 것으로, 탄소나노튜브의 local gating 기술과는 기술적 수단 및 해결하는 문제가 다르다.",False,"후보 문헌은 유기박막 트랜지스터의 저온 ALD 식각방지막 기술에 관한 것으로, 탄소나노튜브 로컬 게이팅과 트랜지스터 소재·구조 및 핵심 기술 문제가 근본적으로 다르다."
0308477v1,deposition,us_US20090194876A1,7,12.3286,False,"후보 문헌은 Cu/low-k 배선 구조에 관한 것으로, 탄소 나노튜브의 국소 게이팅과는 기술적인 문제 및 수단이 상이하다.",False,탄소나노튜브 국소 게이팅 및 CVD 성장 기술과 무관하게 Cu/저유전율 인터커넥트 구조 및 형성 방법을 다루는 문헌으로 기술 문제와 수단이 겹치지 않는다.
0308477v1,deposition,kr_1020240025544,8,11.9557,False,"후보 문헌은 박막 형성 물질의 결합 에너지에 대한 내용으로, 연구 아이디어에서 다루는 탄소 나노튜브의 국소 게이팅 기술과는 기술적인 내용이 상이하여 관련성이 낮다.",False,"후보 문헌은 아이오딘 결합해리에너지 기반 박막 형성 물질에 관한 것으로, 탄소나노튜브의 로컬 게이팅 및 CVD 성장/ALD 유전체 관련 연구 아이디어와 기술 문제나 수단이 겹치지 않는다."
0308477v1,deposition,kr_1020160093314,9,11.9331,False,"후보 문헌은 전자 섬유 증착 장치에 대한 것으로, 탄소 나노튜브의 국소 게이팅 기술과는 기술적인 관련성이 없습니다.",False,"후보 문헌은 섬유 기판 증착 장치의 기계적 회전 구조에 관한 것으로, 탄소나노튜브의 로컬 게이팅이나 전자 소자 특성과 무관하다."
0308477v1,deposition,kr_1020220078082,10,11.9331,False,"연구 아이디어는 탄소 나노튜브의 국소 게이팅 제어에 관한 것이고, 후보 문헌은 반도체 기판 패시베이션 화합물에 관한 것으로 기술적인 내용이 다르다.",False,"후보 문헌은 반도체 표면 패시베이션 화합물 및 박막 형성 방법에 관한 것으로, 탄소나노튜브 국소 게이팅 및 CVD 성장, 고유전율 유전체 ALD 코팅을 다루는 연구 아이디어와 기술적 문제나 수단이 겹치지 않는다."
